run,model,class_id,class_label,private_proportion,source_predicted_proportion,source_true_proportion,private_minus_source_predicted,private_minus_source_true,private_mean_confidence,private_mean_entropy,is_private_dominant,source_test_accuracy,source_test_macro_accuracy,source_test_f1_macro,source_test_mae,source_test_mse
openface_mlp/weighted_ce,openface_mlp,0,Highly Disengage,0.23097826086956522,0.029484029484029485,0.028665028665028666,0.20149423138553574,0.20231323220453656,0.5927886994446026,0.6853884045253782,False,0.6101556101556102,0.5376420212616171,0.49282718573859696,0.4258804258804259,0.5061425061425061
openface_mlp/weighted_ce,openface_mlp,1,Disengage,0.15489130434782608,0.25307125307125306,0.180999180999181,-0.09817994872342697,-0.026107876651354917,0.33673075678055747,0.936219989207753,False,0.6101556101556102,0.5376420212616171,0.49282718573859696,0.4258804258804259,0.5061425061425061
openface_mlp/weighted_ce,openface_mlp,2,Engage,0.36684782608695654,0.5536445536445537,0.6936936936936937,-0.18679672755759713,-0.3268458676067372,0.3088016735182868,0.9593011215881065,True,0.6101556101556102,0.5376420212616171,0.49282718573859696,0.4258804258804259,0.5061425061425061
openface_mlp/weighted_ce,openface_mlp,3,Highly Engage,0.24728260869565216,0.1638001638001638,0.09664209664209664,0.08348244489548837,0.15064051205355553,0.5624898904627496,0.6447252729436853,False,0.6101556101556102,0.5376420212616171,0.49282718573859696,0.4258804258804259,0.5061425061425061
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,0,Highly Disengage,0.5027173913043478,0.020475020475020474,0.028665028665028666,0.4822423708293273,0.4740523626393191,0.6691247244138976,0.5789099171354964,True,0.7698607698607699,0.5637376174084232,0.5972155073759607,0.25307125307125306,0.3022113022113022
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,1,Disengage,0.44565217391304346,0.11793611793611794,0.180999180999181,0.32771605597692555,0.26465299291386246,0.7234691779424505,0.48438964838661797,False,0.7698607698607699,0.5637376174084232,0.5972155073759607,0.25307125307125306,0.3022113022113022
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,2,Engage,0.024456521739130436,0.7764127764127764,0.6936936936936937,-0.7519562546736459,-0.6692371719545632,0.6682550244861178,0.5007967087957594,False,0.7698607698607699,0.5637376174084232,0.5972155073759607,0.25307125307125306,0.3022113022113022
openface_tcn_i3d_fusion/ce,openface_tcn_i3d_fusion,3,Highly Engage,0.02717391304347826,0.08517608517608517,0.09664209664209664,-0.058002172132606916,-0.06946818359861838,0.5436979860067368,0.7462242364883422,False,0.7698607698607699,0.5637376174084232,0.5972155073759607,0.25307125307125306,0.3022113022113022
openface_tcn_i3d_fusion/ordinal,openface_tcn_i3d_fusion,0,Highly Disengage,0.035326086956521736,0.085995085995086,0.028665028665028666,-0.05066899903856426,0.00666105829149307,0.5561744020535395,0.6090717476147872,False,0.5626535626535627,0.593316422542381,0.45909661338152363,0.49221949221949224,0.6068796068796068
openface_tcn_i3d_fusion/ordinal,openface_tcn_i3d_fusion,1,Disengage,0.44021739130434784,0.22358722358722358,0.180999180999181,0.21663016771712426,0.25921821030516684,0.5402923669712043,0.7347731248096183,False,0.5626535626535627,0.593316422542381,0.45909661338152363,0.49221949221949224,0.6068796068796068
