train_group,test_set,model,loss,target_frames,n_labeled,accuracy,macro_accuracy,mae,macro_mae,cohen_kappa,quadratic_weighted_kappa
combined,cmose_test,transformer,ordinal,150,1221,0.5511875511875511,0.5934744467895017,0.5192465192465192,0.5334010637237321,0.27352676768334794,0.4078901501767832
combined,cmose_test,i3d_mlp,ce,150,1221,0.7657657657657657,0.5042694502995418,0.25225225225225223,0.6134593449693604,0.4161655172413794,0.5081818639544837
combined,cmose_test,i3d_mlp,weighted_ce,150,1221,0.6625716625716626,0.5933731635897864,0.38165438165438165,0.5024781504184205,0.37733999415775055,0.4590286223218847
combined,cmose_test,i3d_mlp,ordinal,150,1221,0.5004095004095004,0.5588903709360521,0.5921375921375921,0.5732642142594104,0.2425666152090744,0.3251780206063245
combined,daisee_test,openface_mlp,ce,150,1784,0.5375560538116592,0.28083370940513797,0.47085201793721976,0.9423805763091477,0.09639885659276448,0.1006438872432448
combined,daisee_test,openface_mlp,weighted_ce,150,1784,0.4517937219730942,0.26072257322257325,0.5992152466367713,1.3432320307320307,0.00312531781682579,0.030798513926322157
combined,daisee_test,openface_mlp,ordinal,150,1784,0.3133408071748879,0.2621944764801908,0.8817264573991032,1.3459575066717924,0.006385250090477412,0.007975111629075715
combined,daisee_test,tcn,ce,150,1784,0.5168161434977578,0.2679612590326876,0.492152466367713,1.0746077710363424,0.057811521622187945,0.0666972603368362
combined,daisee_test,tcn,weighted_ce,150,1784,0.44786995515695066,0.31679418286561145,0.6642376681614349,1.1603932318218033,0.03391448149679377,0.07785442421006228
combined,daisee_test,tcn,ordinal,150,1784,0.4439461883408072,0.34428816571673715,0.6507847533632287,1.034992088563517,0.03987152917177528,0.097169540625209
combined,daisee_test,lstm,ce,150,1784,0.5302690582959642,0.2798482619911191,0.4820627802690583,1.0237231665803095,0.09269821463901329,0.11294162167394917
combined,daisee_test,lstm,weighted_ce,150,1784,0.46580717488789236,0.2585939371653657,0.5896860986547086,1.393806724163867,0.02418317084565902,0.04337319957101937
combined,daisee_test,lstm,ordinal,150,1784,0.4461883408071749,0.2470224166652738,0.6356502242152466,1.4301342158485013,0.007302493075416194,0.04343442290936339
combined,daisee_test,transformer,ce,150,1784,0.5140134529147982,0.2867495278209564,0.4977578475336323,0.9462673480530625,0.07231460722678251,0.13635360404442531
combined,daisee_test,transformer,weighted_ce,150,1784,0.4562780269058296,0.260439474725189,0.5975336322869955,1.3449086841943987,0.011923291700973393,0.0538858642750214
combined,daisee_test,transformer,ordinal,150,1784,0.4400224215246637,0.3959687888259317,0.656390134529148,0.9246616746616747,0.022650697551987342,0.07431296490787609
combined,daisee_test,i3d_mlp,ce,150,1784,0.5403587443946188,0.28129335272192413,0.4798206278026906,1.18299236156379,0.114483707100692,0.09870466658282617
combined,daisee_test,i3d_mlp,weighted_ce,150,1784,0.4366591928251121,0.3081720403148975,0.6474215246636771,1.303108303108303,0.02362997137741285,0.03752239630492338
combined,daisee_test,i3d_mlp,ordinal,150,1784,0.5369955156950673,0.2820315677458535,0.4820627802690583,1.1167779560636704,0.1156486753790461,0.13415051644525355
combined,private,openface_mlp,ce,150,366,0.4672131147540984,0.32190643863179075,0.6147540983606558,1.1671704960948488,0.12159999999999982,0.16651075771749313
combined,private,openface_mlp,weighted_ce,150,366,0.273224043715847,0.2290466589861751,0.8825136612021858,1.3919066820276498,-0.021863487032002915,-0.005974607916355401
combined,private,openface_mlp,ordinal,150,366,0.22950819672131148,0.29302292248112327,0.9508196721311475,0.9698226996386923,0.06201606746882837,0.151906158357771
combined,private,tcn,ce,150,366,0.6038251366120219,0.32237747722896515,0.43989071038251365,0.9653818745808183,0.2054080761802094,0.2714819427148195
combined,private,tcn,weighted_ce,150,366,0.31693989071038253,0.27536779818697127,0.819672131147541,1.3182743639254884,-0.004865084507506223,0.07896678966789672
combined,private,tcn,ordinal,150,366,0.2896174863387978,0.23291361069643668,0.8497267759562842,1.3947362264987777,-0.03250726964975503,0.03160270880361149
